.id,x,pressure,depth,temperature,temp2,sal1,sal2,density1,density2,o1,o2,o3,o4,cdom,fluor1,atten,trans,par,spar,lat,lon,y0,y00,stnname,transect
stnx.1,NA,12.484,12.4,23.2503,23.2562,32.9673,32.9697,22.3218,22.322,4.6391,93.898,4.7347,95.844,0.9241,24.5249,0.5577,86.9858,5565.9,856.97,29.00064,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,12.686,12.6,23.2475,23.252,32.9639,32.9678,22.3201,22.3217,4.6246,93.598,4.7414,95.972,0.9747,24.7454,0.5576,86.9881,4859.8,857.71,29.00066,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,12.887,12.8,23.2384,23.251,32.9637,32.9673,22.3225,22.3216,4.6258,93.607,4.7522,96.188,0.865,24.5756,0.5549,87.0462,5126.7,857.7,29.00065,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,13.088,13,23.2931,23.2881,33.0049,32.9905,22.338,22.3286,4.6285,93.772,4.7439,96.095,1.0682,24.3723,0.538,87.4148,5366.2,859.23,29.00064,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,13.29,13.2,23.3396,23.3073,33.044,33.0179,22.3542,22.3438,4.595,93.19,4.723,95.719,0.9143,24.3898,0.5488,87.1807,4964.5,863.15,29.00066,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,13.492,13.4,23.3679,23.361,33.0738,33.0618,22.3687,22.3616,4.5753,92.853,4.6778,94.916,1.1417,24.3897,0.5819,86.4613,4489.6,860.88,29.00066,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,13.693,13.6,23.3588,23.3586,33.0626,33.0625,22.3628,22.3628,4.5818,92.964,4.6544,94.437,1.1422,24.3,0.6172,85.7032,4462.3,861.05,29.00068,-94.99988,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,13.893,13.8,23.3547,23.3526,33.0594,33.0558,22.3615,22.3595,4.5339,91.985,4.6547,94.43,0.9994,24.4055,0.6589,84.8148,4241.4,864.92,29.00068,-94.99986,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,14.095,14,23.3854,23.409,33.1021,33.1174,22.3851,22.3898,4.5299,91.976,4.6598,94.661,1.1494,24.365,0.6796,84.3755,4177.5,864.4,29.00068,-94.99986,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,14.297,14.2,23.4265,23.4226,33.1375,33.1305,22.4,22.3958,4.5105,91.667,4.6135,93.75,1.1205,24.6512,0.7314,83.2924,4050.9,865.71,29.00069,-94.99986,0,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,14.498,14.4,23.4666,23.4622,33.1769,33.17,22.4182,22.4143,4.4701,90.93,4.5789,93.132,1.0701,24.6181,0.8185,81.4928,4176.9,880.15,29.00082,-94.9998,1,0,GOMECC-1/SEAMAP-B221,tran1
stnx.1,NA,14.7,14.6,23.4715,23.4519,33.1734,33.1457,22.4142,22.3989,4.4704,90.941,4.604,93.613,1.2669,24.4926,0.7754,82.3775,4268.5,881.16,29.00086,-94.99978,2,0,GOMECC-1/SEAMAP-B221,tran1
stnx.10,NA,3.021,3,22.8653,22.8662,30.4745,30.4714,20.5436,20.541,4.9947,98.973,5.0564,100.196,3.7707,0.4479,0.3758,91.0332,7.1259,1.6752,29.30608,-94.3937,0,0,SEAMAP-B220,tran2
stnx.10,NA,3.222,3.2,22.8675,22.8673,30.4753,30.472,20.5435,20.5411,5.022,99.52,5.0766,100.598,4.0887,0.417,0.3676,91.2196,6.6841,1.6752,29.30608,-94.3937,0,0,SEAMAP-B220,tran2
stnx.10,NA,3.423,3.4,22.8671,22.8672,30.4753,30.4719,20.5437,20.5411,5.0111,99.303,5.07,100.469,3.8101,0.3962,0.3931,90.6419,6.3634,1.6752,29.30608,-94.3937,0,0,SEAMAP-B220,tran2
stnx.10,NA,3.624,3.6,22.866,22.8652,30.4746,30.4708,20.5435,20.5408,5.0053,99.185,5.0765,100.593,3.798,0.3992,0.3836,90.857,6.5673,1.6752,29.30606,-94.3937,0,0,SEAMAP-B220,tran2
stnx.10,NA,3.827,3.8,22.8649,22.8655,30.4743,30.4714,20.5435,20.5412,5.0086,99.249,5.0755,100.574,4.1273,0.4342,0.3615,91.3592,5.7085,1.6752,29.30607,-94.39371,0,0,SEAMAP-B220,tran2
stnx.10,NA,4.027,4,22.8651,22.8683,30.4743,30.4726,20.5435,20.5413,5.039,99.851,5.0647,100.365,3.922,0.3662,0.3681,91.2086,5.5204,1.6752,29.30608,-94.39372,0,0,SEAMAP-B220,tran2
stnx.10,NA,4.229,4.2,22.8729,22.8742,30.4764,30.4735,20.5429,20.5404,4.9977,99.048,5.0516,100.117,3.761,0.3892,0.382,90.8926,5.7167,1.6752,29.3061,-94.39383,0,0,SEAMAP-B220,tran2
stnx.10,NA,4.43,4.4,22.8892,22.892,30.4828,30.4787,20.5432,20.5393,5.012,99.363,5.047,100.06,3.6524,0.4387,0.3975,90.541,4.4998,1.6752,29.30614,-94.39409,0,0,SEAMAP-B220,tran2
stnx.10,NA,4.632,4.6,22.8935,22.8935,30.4859,30.4825,20.5443,20.5417,5.007,99.273,5.0525,100.174,3.9491,0.4307,0.3806,90.9238,3.9251,1.6752,29.30615,-94.39413,0,0,SEAMAP-B220,tran2
stnx.10,NA,4.833,4.8,22.8923,22.8981,30.487,30.4863,20.5455,20.5433,4.9883,98.901,5.0564,100.261,3.9122,0.4456,0.3818,90.8966,3.0877,1.6752,29.30616,-94.39414,0,0,SEAMAP-B220,tran2
stnx.10,NA,5.034,5,22.894,22.8982,30.4882,30.4862,20.546,20.5433,4.9817,98.774,5.058,100.293,3.9073,0.4346,0.3845,90.8349,3.0606,1.6752,29.30616,-94.39414,0,0,SEAMAP-B220,tran2
stnx.10,NA,5.236,5.2,22.8969,22.8954,30.4889,30.4849,20.5457,20.5431,4.9803,98.752,5.0558,100.243,3.9391,0.4396,0.3845,90.8358,2.902,1.6752,29.30616,-94.39416,0,0,SEAMAP-B220,tran2
stnx.10,NA,5.437,5.4,22.8959,22.8949,30.4878,30.4847,20.5451,20.5431,4.9835,98.813,5.0669,100.463,3.7273,0.4634,0.387,90.7776,2.3822,1.1391,29.30616,-94.39418,0,0,SEAMAP-B220,tran2
stnx.10,NA,5.638,5.6,22.8953,22.8955,30.4875,30.4852,20.5451,20.5433,4.9784,98.71,5.0687,100.5,3.6221,0.4661,0.3932,90.6382,2.2643,1.9797,29.30616,-94.39418,0,0,SEAMAP-B220,tran2
stnx.10,NA,5.839,5.8,22.8969,22.8946,30.4891,30.4848,20.5458,20.5433,4.972,98.587,5.0725,100.574,3.6896,0.4084,0.3891,90.7304,2.1618,1.8319,29.30616,-94.39418,0,0,SEAMAP-B220,tran2
stnx.10,NA,6.041,6,22.897,22.8935,30.4889,30.4845,20.5457,20.5433,4.9604,98.357,5.0637,100.398,3.9227,0.4066,0.3823,90.8844,2.3451,1.6783,29.30616,-94.39418,0,0,SEAMAP-B220,tran2
stnx.10,NA,6.242,6.2,22.8944,22.8935,30.4877,30.484,20.5456,20.543,4.9472,98.091,5.0479,100.084,3.8095,0.4398,0.3934,90.6425,1.74,1.8657,29.30616,-94.39419,0,0,SEAMAP-B220,tran2
stnx.10,NA,6.444,6.4,22.895,22.8941,30.4882,30.4847,20.5458,20.5434,4.9442,98.031,5.0327,99.783,3.7949,0.4098,0.6843,84.2837,1.6992,1.9539,29.30616,-94.3942,0,0,SEAMAP-B220,tran2
