"","Cruise","depth","sal","temp","dissolvedO","dO_percent","id"
"8093","RP2",87.8,36.3068,22.7951,4.488,91.878,"ADAPTIVE STN 2"
"8094","RP2",88,36.3103,22.7772,4.466,91.4,"ADAPTIVE STN 2"
"8095","RP2",88.2,36.313,22.7677,4.4543,91.146,"ADAPTIVE STN 2"
"8096","RP2",88.4,36.3478,22.5855,4.2089,85.867,"ADAPTIVE STN 2"
"8097","RP2",88.6,36.3388,22.5969,4.2102,85.907,"ADAPTIVE STN 2"
"8098","RP2",88.8,36.3447,22.5739,4.2233,86.142,"ADAPTIVE STN 2"
"8099","RP2",89,36.3399,22.5603,4.2125,85.9,"ADAPTIVE STN 2"
"8100","RP2",89.2,36.347,22.5024,4.1693,84.935,"ADAPTIVE STN 2"
"8101","RP2",89.4,36.3558,22.4753,4.0906,83.296,"ADAPTIVE STN 2"
"8102","RP2",89.6,36.3528,22.4843,4.1218,83.944,"ADAPTIVE STN 2"
"8103","RP2",89.8,36.3528,22.4763,4.1208,83.911,"ADAPTIVE STN 2"
"8104","RP2",90,36.354,22.4645,4.114,83.757,"ADAPTIVE STN 2"
"8105","RP2",90.2,36.3549,22.4606,4.1015,83.496,"ADAPTIVE STN 2"
"8106","RP2",90.4,36.3543,22.4225,4.0665,82.728,"ADAPTIVE STN 2"
"8107","RP2",90.6,36.3598,22.4027,4.0396,82.155,"ADAPTIVE STN 2"
"8108","RP2",90.8,36.3598,22.3978,4.0872,83.116,"ADAPTIVE STN 2"
"8109","RP2",91,36.3637,22.3801,4.0598,82.534,"ADAPTIVE STN 2"
"8110","RP2",91.2,36.3661,22.3703,4.0285,81.885,"ADAPTIVE STN 2"
"8111","RP2",91.4,36.3724,22.3481,3.9795,80.861,"ADAPTIVE STN 2"
"8112","RP2",91.6,36.3855,22.2903,3.9436,80.055,"ADAPTIVE STN 2"
"8113","RP2",91.8,36.3974,22.2354,3.8011,77.095,"ADAPTIVE STN 2"
"8114","RP2",92,36.3983,22.2297,3.7517,76.086,"ADAPTIVE STN 2"
"8115","RP2",92.2,36.3982,22.2215,3.7483,76.004,"ADAPTIVE STN 2"
"8116","RP2",92.4,36.4078,22.1644,3.729,75.541,"ADAPTIVE STN 2"
"8117","RP2",92.6,36.4239,22.0944,3.6962,74.791,"ADAPTIVE STN 2"
"8118","RP2",92.8,36.4378,22.043,3.6612,74.022,"ADAPTIVE STN 2"
"8119","RP2",93,36.448,21.9854,3.6128,72.974,"ADAPTIVE STN 2"
"8120","RP2",93.4,36.4732,21.8726,3.3294,67.119,"ADAPTIVE STN 2"
"8121","RP2",93.6,36.4624,21.8601,3.3278,67.074,"ADAPTIVE STN 2"
"8122","RP2",93.8,36.4699,21.8177,3.3385,67.24,"ADAPTIVE STN 2"
"8123","RP2",94,36.4785,21.7367,3.3331,67.04,"ADAPTIVE STN 2"
"8124","RP2",94.2,36.5006,21.6469,3.282,65.915,"ADAPTIVE STN 2"
"8125","RP2",94.4,36.5097,21.5857,3.1638,63.476,"ADAPTIVE STN 2"
"8126","RP2",94.6,36.5145,21.5471,2.9618,59.383,"ADAPTIVE STN 2"
"8127","RP2",94.8,36.5156,21.5336,2.9657,59.448,"ADAPTIVE STN 2"
"8128","RP2",95,36.5156,21.516,2.9734,59.584,"ADAPTIVE STN 2"
"8129","RP2",95.2,36.5147,21.5006,2.9706,59.51,"ADAPTIVE STN 2"
"8130","RP2",95.4,36.5146,21.4841,2.9638,59.356,"ADAPTIVE STN 2"
"8131","RP2",95.6,36.5144,21.4665,2.9369,58.8,"ADAPTIVE STN 2"
"8132","RP2",95.8,36.5148,21.4519,2.9337,58.721,"ADAPTIVE STN 2"
"8133","RP2",96,36.5149,21.4439,2.9378,58.794,"ADAPTIVE STN 2"
"8134","RP2",96.2,36.5138,21.4196,2.9262,58.536,"ADAPTIVE STN 2"
"8135","RP2",96.4,36.5139,21.4002,2.9162,58.316,"ADAPTIVE STN 2"
"8136","RP2",96.6,36.5141,21.3932,2.9109,58.203,"ADAPTIVE STN 2"
"8137","RP2",96.8,36.5135,21.3924,2.9012,58.007,"ADAPTIVE STN 2"
"8138","RP2",97,36.5124,21.3916,2.8991,57.965,"ADAPTIVE STN 2"
"8139","RP2",97.2,36.5118,21.391,2.8959,57.9,"ADAPTIVE STN 2"
"8140","RP2",97.4,36.5106,21.3908,2.8935,57.851,"ADAPTIVE STN 2"
"8141","RP2",97.6,36.5097,21.3896,2.8881,57.741,"ADAPTIVE STN 2"
"8142","RP2",97.8,36.5094,21.3574,2.9084,58.114,"ADAPTIVE STN 2"
"8143","RP2",98,36.511,21.3274,2.8974,57.865,"ADAPTIVE STN 2"
"8144","RP2",98.2,36.5132,21.2902,2.8785,57.449,"ADAPTIVE STN 2"
"8145","RP2",98.4,36.516,21.2561,2.8468,56.782,"ADAPTIVE STN 2"
"8146","RP2",98.6,36.5173,21.2421,2.817,56.175,"ADAPTIVE STN 2"
"8147","RP2",98.8,36.5164,21.2248,2.8106,56.029,"ADAPTIVE STN 2"
"8148","RP2",99,36.5167,21.1709,2.7992,55.749,"ADAPTIVE STN 2"
"8149","RP2",99.2,36.5187,21.1236,2.774,55.2,"ADAPTIVE STN 2"
"8150","RP2",99.4,36.5189,21.1044,2.7633,54.968,"ADAPTIVE STN 2"
"8151","RP2",99.6,36.5223,21.09,2.7435,54.562,"ADAPTIVE STN 2"
"8152","RP2",99.8,36.5187,21.0853,2.7285,54.258,"ADAPTIVE STN 2"
"8153","RP2",100,36.5125,21.1179,2.7626,54.966,"ADAPTIVE STN 2"
"8154","RP2",100.2,36.5114,21.1026,2.7502,54.703,"ADAPTIVE STN 2"
"8155","RP2",100.4,36.5147,21.0774,2.745,54.576,"ADAPTIVE STN 2"
"8156","RP2",100.6,36.5103,21.0544,2.7574,54.799,"ADAPTIVE STN 2"
"8157","RP2",100.8,36.5093,21.0813,2.7586,54.848,"ADAPTIVE STN 2"
"8158","RP2",101,36.5107,21.0538,2.7459,54.57,"ADAPTIVE STN 2"
"8159","RP2",101.2,36.5159,21.0397,2.7373,54.386,"ADAPTIVE STN 2"
"8160","RP2",101.4,36.5147,21.0315,2.7236,54.106,"ADAPTIVE STN 2"
"8161","RP2",101.6,36.5143,21.0298,2.7097,53.828,"ADAPTIVE STN 2"
"8162","RP2",101.8,36.5141,21.0291,2.7096,53.826,"ADAPTIVE STN 2"
"8163","RP2",102,36.5139,21.0112,2.7275,54.163,"ADAPTIVE STN 2"
"8164","RP2",102.2,36.5137,21.0082,2.7241,54.093,"ADAPTIVE STN 2"
"8165","RP2",102.4,36.5128,20.9889,2.7159,53.912,"ADAPTIVE STN 2"
"8166","RP2",102.6,36.511,20.9799,2.7119,53.822,"ADAPTIVE STN 2"
"8167","RP2",102.8,36.5156,20.8773,2.6833,53.159,"ADAPTIVE STN 2"
"8168","RP2",103,36.5199,20.8477,2.6719,52.905,"ADAPTIVE STN 2"
"8169","RP2",103.2,36.5262,20.8266,2.6445,52.346,"ADAPTIVE STN 2"
"8170","RP2",103.4,36.5234,20.8105,2.6522,52.482,"ADAPTIVE STN 2"
"8171","RP2",103.6,36.523,20.7997,2.655,52.526,"ADAPTIVE STN 2"
"8172","RP2",103.8,36.5234,20.793,2.6519,52.459,"ADAPTIVE STN 2"
"8173","RP2",104,36.5246,20.7851,2.6411,52.238,"ADAPTIVE STN 2"
"8174","RP2",104.2,36.5243,20.7833,2.6374,52.163,"ADAPTIVE STN 2"
"8175","RP2",104.6,36.5288,20.7795,2.6506,52.418,"ADAPTIVE STN 2"
"8176","RP2",104.8,36.5224,20.7702,2.6396,52.193,"ADAPTIVE STN 2"
